Assessment_ID,Intake_Proficiency_Score,Intake_Applications_Score,Outcome_Proficiency_Score,Outcome_Applications_Score
P34939,0.511,0.398,0.737,0.596
D85265,0.457,0.354,0.853,0.749
P51993,0.681,0.685,0.872,0.827
S75651,0.258,0.322,0.401,0.39
A42881,0.669,0.457,0.818,0.69
A76606,0.272,0.196,0.607,0.578
S28499,0.516,0.414,0.781,0.829
X64156,0.479,0.419,0.757,0.544
A34244,0.131,0.282,0.448,0.628
A56626,0.172,0.113,0.472,0.353
A52065,0.685,0.476,0.871,0.766
S64895,0.235,0.256,0.599,0.727
A87644,0.385,0.189,0.808,0.748
D68270,0.278,0.168,0.482,0.242
D27865,0.631,0.456,0.789,0.611
P59877,0.555,0.4,0.814,0.737
D38834,0.448,0.365,0.769,0.681
X51013,0.672,0.471,0.833,0.677
S68458,0.509,0.348,0.798,0.724
D23822,0.675,0.502,0.803,0.654
D55240,0.638,0.449,0.799,0.586
P59666,0.18,0.188,0.492,0.44
S59712,0.524,0.411,0.762,0.735
A83436,0.234,0.258,0.809,0.742
P67224,0.771,0.576,0.955,0.795
A46279,0.441,0.431,0.781,0.659
A19492,0.566,0.465,0.704,0.651
D98627,0.473,0.425,0.707,0.625
D11840,0.372,0.507,0.588,0.715
D89752,0.214,0.152,0.555,0.376
A80044,0.154,0.184,0.532,0.544
P69205,0.187,0.201,0.412,0.554
S59472,0.686,0.515,0.723,0.678
D98158,0.645,0.634,0.783,0.773
S13035,0.587,0.503,0.714,0.595
P23684,0.204,0.187,0.566,0.463
P38922,0.634,0.564,0.771,0.829
A86126,0.597,0.554,0.765,0.758
X87658,0.202,0.171,0.375,0.213
S18388,0.592,0.395,0.684,0.566
X43879,0.517,0.362,0.787,0.552
S69400,0.155,0.257,0.812,0.969
P19305,0.239,0.148,0.683,0.861
P83663,0.209,0.184,0.369,0.36
P79360,0.23,0.201,0.797,0.819
D20434,0.586,0.542,0.772,0.738
P98533,0.516,0.438,0.838,0.823
S35355,0.158,0.211,0.81,0.698
P20947,0.77,0.719,0.853,0.877
P20607,0.484,0.371,0.723,0.875
P58118,0.476,0.469,0.68,0.726
P62622,0.306,0.179,0.788,0.676
P32036,0.381,0.375,0.752,0.582
P68379,0.151,0.142,0.951,1.0
P31686,0.542,0.359,0.827,0.713
A49623,0.573,0.507,0.792,0.767
D34000,0.488,0.418,0.775,0.706
P27793,0.183,0.262,0.51,0.422
S64288,0.663,0.484,0.818,0.656
D56406,0.654,0.431,0.785,0.715
S52034,0.223,0.201,0.463,0.656
P91744,0.422,0.382,0.806,0.654
S74721,0.618,0.559,0.847,0.89
S63725,0.346,0.24,0.839,0.792
X23842,0.701,0.431,0.821,0.712
X91179,0.192,0.143,0.427,0.514
P64342,0.532,0.292,0.727,0.655
X41066,0.35,0.259,0.851,0.95
S97796,0.482,0.437,0.736,0.763
X87479,0.519,0.489,0.736,0.673
X45918,0.727,0.709,0.88,0.868
D14630,0.199,0.221,0.451,0.665
X86838,0.297,0.122,1.0,1.0
D92076,0.573,0.379,0.79,0.669
D62048,0.627,0.35,0.838,0.67
S62594,0.555,0.341,0.808,0.781
A31677,0.413,0.489,0.913,0.867
P85289,0.549,0.499,0.754,0.734
S93159,0.375,0.183,0.853,0.693
A20372,0.308,0.248,0.725,0.816
S84076,0.813,0.746,0.98,0.897
X55466,0.373,0.209,0.88,0.7
D20256,0.291,0.169,0.419,0.206
X94885,0.577,0.331,0.857,0.763
X94277,0.401,0.435,0.599,0.766
S68626,0.287,0.2,0.821,0.635
P72047,0.572,0.376,0.788,0.694
P33009,0.373,0.475,0.608,0.595
A90723,0.654,0.577,0.819,0.744
D13381,0.089,0.272,0.553,0.343
X62544,0.277,0.186,0.604,0.405
A18842,0.638,0.605,0.81,0.772
X30613,0.227,0.182,0.604,0.737
X69622,0.219,0.3,0.496,0.668
S85757,0.665,0.55,0.754,0.767
S23052,0.538,0.557,0.687,0.775
S22882,0.581,0.534,0.687,0.742
P95601,0.207,0.324,0.416,0.371
D28888,0.517,0.304,0.754,0.634
A32679,0.199,0.159,0.533,0.632
S35177,0.253,0.269,0.624,0.692
S60796,0.652,0.648,0.745,0.743
D90776,0.636,0.584,0.827,0.78
X71113,0.207,0.176,0.358,0.359
D51339,0.72,0.535,0.845,0.776
S49870,0.527,0.42,0.787,0.73
P41514,0.27,0.235,0.889,0.634
P25014,0.538,0.498,0.71,0.731
A37663,0.533,0.458,0.691,0.592
P29135,0.251,0.166,0.682,0.494
P28170,0.154,0.273,0.4,0.324
D19385,0.735,0.546,0.884,0.742
P12853,0.514,0.38,0.889,0.762
X92384,0.373,0.393,0.694,0.715
P70138,0.727,0.443,0.836,0.67
X77395,0.527,0.469,0.876,0.7
A29002,0.312,0.14,1.0,0.795
S24384,0.662,0.462,0.79,0.721
D27862,0.193,0.153,0.86,0.994
P60965,0.181,0.117,0.323,0.235
S26385,0.633,0.471,0.695,0.696
P91025,0.224,0.17,0.444,0.301
D77263,0.496,0.394,0.704,0.728
X36347,0.369,0.318,0.522,0.601
X97509,0.44,0.371,0.798,0.76
A46730,0.217,0.208,0.907,0.968
A54239,0.303,0.286,0.804,0.824
P86719,0.277,0.287,0.636,0.593
D35588,0.359,0.154,0.982,0.834
P17323,0.493,0.39,0.818,0.748
X70448,0.321,0.307,0.787,0.833
A94342,0.754,0.542,0.813,0.807
D30314,0.15,0.193,0.25,0.154
P91195,0.411,0.188,0.798,0.884
P69774,0.792,0.658,0.921,0.824
A79663,0.209,0.109,0.839,0.706
S91864,0.499,0.374,0.775,0.686
P44281,0.32,0.305,0.552,0.567
D30700,0.487,0.412,0.733,0.702
D47861,0.397,0.36,0.567,0.609
D32574,0.374,0.228,0.835,0.735
X37098,0.56,0.467,0.752,0.819
A20363,0.485,0.36,0.832,0.681
D99545,0.346,0.428,0.59,0.669
P49698,0.274,0.23,0.722,0.798
D21055,0.605,0.465,0.812,0.687
P98871,0.349,0.201,0.876,0.737
P92024,0.65,0.38,0.757,0.692
A58173,0.233,0.248,0.661,0.404
A36089,0.262,0.17,1.0,0.951
S28961,0.598,0.504,0.76,0.718
P72600,0.316,0.247,0.86,0.707
P28697,0.881,0.724,0.948,0.861
X50802,0.2,0.17,0.834,1.0
A86474,0.265,0.271,0.733,0.756
D56148,0.195,0.279,0.543,0.551
X37650,0.519,0.413,0.733,0.736
X84942,0.792,0.685,0.927,0.865
S42028,0.157,0.111,0.471,0.369
S34884,0.18,0.172,0.446,0.48
S73302,0.559,0.422,0.778,0.747
S22339,0.355,0.223,0.838,0.8
A63700,0.169,0.18,0.283,0.453
S61900,0.182,0.222,0.459,0.63
P81049,0.546,0.366,0.825,0.693
A25586,0.198,0.249,0.602,0.577
A78043,0.718,0.567,0.833,0.787
S47777,0.79,0.713,0.932,0.896
P88832,0.439,0.195,0.699,0.717
D56523,0.353,0.182,0.689,0.499
A19192,0.577,0.425,0.716,0.769
A10761,0.546,0.393,0.754,0.762
D86073,0.701,0.54,0.857,0.741
A30976,0.275,0.174,0.954,0.911
D62718,0.765,0.737,0.958,0.906
D84908,0.35,0.442,0.746,0.668
D35206,0.257,0.186,0.755,0.734
A58022,0.62,0.57,0.724,0.77
S13999,0.788,0.633,0.863,0.799
X37111,0.575,0.554,0.737,0.691
P34674,0.248,0.186,0.608,0.521
S46610,0.219,0.206,0.398,0.368
D33230,0.254,0.203,0.661,0.822
X85398,0.475,0.463,0.719,0.821
D10497,0.509,0.487,0.819,0.785
S29051,0.401,0.514,0.603,0.601
X62572,0.671,0.556,0.788,0.742
P55152,0.455,0.357,0.751,0.812
X52732,0.475,0.365,0.729,0.589
D94220,0.678,0.508,0.774,0.721
D50576,0.211,0.202,0.962,0.789
P65637,0.224,0.251,0.618,0.492
D62438,0.171,0.207,0.481,0.467
P21139,0.529,0.449,0.78,0.651
A80915,0.824,0.701,0.92,0.898
P76037,0.486,0.404,0.738,0.704
D73032,0.208,0.221,0.405,0.244
P53877,0.165,0.185,0.545,0.337
D98909,0.134,0.138,0.231,0.188
S80980,0.197,0.205,0.776,0.599
P76187,0.652,0.661,0.864,0.831
X74630,0.755,0.542,0.815,0.76
S78284,0.461,0.491,0.898,0.745
X40497,0.821,0.723,0.917,0.867
S70927,0.23,0.312,0.504,0.494
A37844,0.571,0.532,0.781,0.813
A88842,0.213,0.223,0.92,0.805
S40214,0.717,0.46,0.807,0.765
P91720,0.265,0.234,0.448,0.344
P76832,0.667,0.463,0.774,0.787
A74483,0.446,0.419,0.781,0.637
P59875,0.323,0.162,0.845,0.746
P70672,0.664,0.423,0.816,0.586
X18734,0.232,0.163,0.886,0.626
X64017,0.513,0.366,0.87,0.715
S44608,0.506,0.421,0.796,0.657
D22909,0.388,0.234,0.828,0.747
D22996,0.545,0.437,0.679,0.72
P34430,0.248,0.233,0.511,0.509
S48880,0.213,0.339,0.416,0.619
D10736,0.166,0.22,0.578,0.522
X59097,0.508,0.343,0.827,0.664
X44709,0.451,0.383,0.703,0.565
P19431,0.382,0.429,0.753,0.6
A86543,0.488,0.412,0.726,0.753
A17066,0.09,0.177,0.646,0.838
S39662,0.48,0.381,0.738,0.721
D45350,0.613,0.569,0.758,0.79
P19073,0.247,0.224,0.741,0.88
A19067,0.427,0.422,0.8,0.786
X63781,0.241,0.346,0.438,0.5
D80238,0.572,0.489,0.754,0.733
P71471,0.175,0.204,0.449,0.404
D61254,0.635,0.479,0.769,0.644
P41351,0.474,0.421,0.658,0.789
A78978,0.633,0.545,0.778,0.708
P61546,0.205,0.258,0.653,0.456
S63393,0.216,0.135,0.722,0.604
S98980,0.591,0.56,0.774,0.745
D14850,0.611,0.561,0.765,0.784
D17549,0.533,0.449,0.764,0.663
X24746,0.194,0.164,0.383,0.267
A94908,0.523,0.386,0.848,0.718
S45617,0.265,0.251,0.831,0.887
D90615,0.511,0.344,0.916,0.671
D46545,0.619,0.482,0.746,0.791
S41770,0.407,0.228,0.821,0.823
D15104,0.173,0.18,1.0,0.897
P55987,0.5,0.391,0.748,0.664
D36791,0.626,0.518,0.796,0.688
A25011,0.297,0.144,0.785,0.849
S74175,0.675,0.642,0.79,0.788
A31580,0.238,0.215,0.714,0.56
P82785,0.695,0.641,0.83,0.787
D41128,0.63,0.506,0.723,0.634
D73773,0.203,0.18,0.395,0.393
P60860,0.84,0.651,0.925,0.802
P46108,0.563,0.501,0.743,0.719
A76678,0.272,0.281,0.79,0.721
S80551,0.099,0.208,0.344,0.372
A21500,0.56,0.49,0.765,0.675
S11077,0.264,0.287,0.446,0.383
P55186,0.16,0.184,0.397,0.292
S15288,0.211,0.125,0.441,0.279
A75366,0.196,0.208,0.649,0.654
P95773,0.79,0.754,0.89,0.877
S42099,0.54,0.424,0.811,0.636
A20057,0.48,0.415,0.807,0.801
X93731,0.419,0.364,0.781,0.681
P69641,0.218,0.204,0.535,0.598
S38133,0.288,0.16,0.809,0.817
P95739,0.7,0.434,0.853,0.622
P15547,0.184,0.247,0.573,0.503
X71445,0.286,0.077,0.396,0.429
A16434,0.625,0.481,0.75,0.656
D19136,0.247,0.196,0.673,0.844
X24375,0.61,0.509,0.718,0.624
X57154,0.802,0.719,0.915,0.796
D76636,0.32,0.27,0.545,0.484
S35631,0.625,0.483,0.831,0.764
A61286,0.803,0.665,0.927,0.831
D29499,0.68,0.491,0.819,0.695
X78102,0.315,0.251,0.704,0.833
P83861,0.639,0.454,0.744,0.644
X41446,0.27,0.155,0.859,0.675
D38797,0.581,0.445,0.667,0.638
S80702,0.158,0.187,0.63,0.548
X22359,0.135,0.247,0.534,0.519
P93203,0.153,0.182,0.838,1.0
A90460,0.586,0.516,0.759,0.766
A14095,0.192,0.242,0.423,0.512
D88245,0.218,0.228,0.436,0.314
A94253,0.572,0.552,0.687,0.79
D98743,0.232,0.262,0.384,0.573
A72450,0.26,0.294,0.487,0.432
D78426,0.272,0.304,0.753,0.451
D98345,0.266,0.214,0.81,0.709
X30260,0.205,0.289,0.604,0.634
P49580,0.59,0.47,0.792,0.7
A28296,0.599,0.497,0.661,0.688
D48070,0.227,0.224,0.584,0.608
D18620,0.587,0.403,0.813,0.861
S16986,0.228,0.251,0.737,0.757
D43756,0.312,0.182,0.545,0.365
S23689,0.318,0.25,0.9,0.877
D69969,0.607,0.528,0.778,0.699
D46198,0.582,0.434,0.866,0.754
P40183,0.557,0.581,0.827,0.832
D45365,0.609,0.478,0.805,0.653
P59475,0.468,0.418,0.604,0.708
A12051,0.499,0.392,0.721,0.818
D58766,0.542,0.429,0.774,0.734
D17517,0.167,0.225,0.416,0.47
X33574,0.682,0.567,0.82,0.75
S41960,0.338,0.281,0.854,0.81
S78317,0.529,0.374,0.704,0.706
S52121,0.386,0.379,0.831,0.637
S11651,0.459,0.437,0.685,0.751
S13428,0.491,0.383,0.758,0.677
A30997,0.529,0.392,0.782,0.642
D16989,0.603,0.59,0.78,0.772
P24824,0.35,0.135,0.856,0.632
S92751,0.514,0.353,0.812,0.716
D63425,0.498,0.418,0.772,0.737
A34808,0.233,0.276,0.846,0.806
P71991,0.292,0.262,0.908,0.913
X15515,0.233,0.323,0.615,0.702
X11425,0.595,0.415,0.783,0.655
S62679,0.708,0.399,0.805,0.648
A12594,0.182,0.138,0.407,0.34
A12983,0.296,0.275,0.871,0.773
A36300,0.238,0.178,1.0,1.0
P44416,0.68,0.497,0.814,0.688
S20924,0.29,0.286,0.471,0.312
S14377,0.33,0.11,0.795,0.619
S72667,0.554,0.364,0.736,0.773
X37835,0.239,0.203,0.779,0.723
A91274,0.21,0.107,0.49,0.563
A93432,0.264,0.208,0.871,0.704
X67020,0.267,0.198,0.937,0.954
D58998,0.333,0.136,0.744,0.62
X81931,0.235,0.231,0.569,0.433
D48780,0.706,0.623,0.761,0.733
S24181,0.522,0.355,0.821,0.729
P31763,0.425,0.458,0.812,0.752
P34134,0.584,0.538,0.692,0.797
A32427,0.231,0.174,0.806,0.746
P60590,0.507,0.418,0.675,0.664
D23132,0.273,0.281,0.724,0.83
X85499,0.554,0.448,0.862,0.799
D55564,0.412,0.444,0.731,0.743
A97427,0.557,0.514,0.782,0.751
S84642,0.492,0.405,0.753,0.758
P57996,0.548,0.428,0.765,0.854
A94647,0.27,0.28,0.735,0.607
S24970,0.365,0.257,0.812,0.839
X52181,0.296,0.279,0.517,0.521
S43636,0.275,0.274,0.575,0.588
P68154,0.525,0.464,0.755,0.755
P38151,0.672,0.417,0.855,0.771
S94621,0.204,0.173,0.472,0.488
P18120,0.529,0.506,0.786,0.766
X74142,0.184,0.161,0.568,0.442
D41968,0.506,0.371,0.741,0.778
D23787,0.483,0.409,0.778,0.722
A43547,0.536,0.527,0.741,0.805
A66023,0.529,0.414,0.816,0.583
S20277,0.536,0.486,0.767,0.629
P55237,0.123,0.076,0.322,0.23
A18229,0.473,0.426,0.777,0.71
P41221,0.242,0.217,0.586,0.834
P26557,0.476,0.437,0.736,0.753
A16687,0.335,0.17,0.844,0.756
D86409,0.424,0.433,0.576,0.674
S40837,0.557,0.465,0.76,0.811
D54191,0.826,0.737,0.895,0.869
S43421,0.386,0.207,0.846,0.774
X88908,0.409,0.421,0.712,0.725
P41359,0.462,0.41,0.834,0.797
A53447,0.586,0.564,0.768,0.682
X47059,0.306,0.133,0.817,0.866
P37245,0.656,0.501,0.784,0.805
X12163,0.168,0.162,1.0,1.0
P69762,0.439,0.435,0.781,0.668
D12470,0.651,0.449,0.821,0.613
S61315,0.2,0.239,0.855,0.799
D65133,0.346,0.223,0.811,0.749
D17783,0.193,0.183,0.426,0.402
A49042,0.361,0.211,0.693,0.808
P71967,0.8,0.652,0.879,0.799
S36701,0.679,0.729,0.775,0.84
X55005,0.55,0.406,0.807,0.7
X71880,0.292,0.186,0.73,0.79
X96336,0.586,0.541,0.766,0.742
P15167,0.193,0.209,0.854,0.76
A73283,0.309,0.117,0.806,0.905
S98219,0.429,0.37,0.619,0.694
P52450,0.312,0.173,0.816,0.718
P40487,0.605,0.524,0.69,0.671
A70027,0.435,0.397,0.745,0.714
S69509,0.814,0.722,0.908,0.919
S18055,0.477,0.398,0.766,0.794
S65627,0.242,0.171,0.714,0.475
S52679,0.668,0.468,0.813,0.625
X85147,0.6,0.614,0.711,0.756
P44600,0.285,0.163,0.391,0.325
A89214,0.516,0.308,0.88,0.778
D65644,0.42,0.369,0.741,0.785
A25313,0.416,0.411,0.691,0.674
P73128,0.394,0.434,0.832,0.86
P90630,0.468,0.443,0.782,0.608
S40943,0.454,0.436,0.68,0.652
P21008,0.565,0.451,0.672,0.695
A86498,0.178,0.131,0.476,0.405
X16114,0.2,0.24,0.556,0.494
S96116,0.193,0.234,0.579,0.484
D21634,0.471,0.464,0.687,0.724
S82210,0.673,0.521,0.845,0.762
A85443,0.271,0.249,0.404,0.421
S76698,0.18,0.188,0.396,0.365
S39994,0.141,0.202,0.473,0.469
S69089,0.847,0.697,0.924,0.864
S13633,0.121,0.143,0.307,0.227
D44243,0.609,0.444,0.805,0.665
D96266,0.261,0.422,0.497,0.477
S64537,0.453,0.441,0.692,0.858
S94204,0.39,0.267,0.934,0.811
X72023,0.446,0.478,0.642,0.655
P64705,0.285,0.289,0.542,0.631
A42403,0.211,0.147,0.448,0.592
S37480,0.301,0.28,0.799,0.92
X68687,0.454,0.365,0.779,0.778
X28933,0.644,0.492,0.809,0.736
A53664,0.195,0.256,0.708,0.898
X67947,0.789,0.782,0.901,0.883
P82972,0.711,0.612,0.795,0.71
D81253,0.344,0.339,0.568,0.556
D31110,0.455,0.439,0.712,0.604
A46788,0.416,0.33,0.637,0.562
D30332,0.558,0.503,0.766,0.727
A65472,0.61,0.565,0.74,0.703
X34076,0.126,0.232,0.268,0.272
D68304,0.602,0.491,0.774,0.727
D44282,0.287,0.174,0.703,0.558
X10387,0.621,0.546,0.793,0.784
X49577,0.31,0.183,0.642,0.425
D32336,0.534,0.282,0.739,0.64
D51403,0.422,0.451,0.645,0.693
P39948,0.522,0.518,0.646,0.716
P30445,0.856,0.733,0.931,0.918
D86187,0.386,0.274,0.771,0.825
P91580,0.615,0.412,0.834,0.583
S80656,0.201,0.254,0.925,1.0
X42857,0.54,0.461,0.756,0.818
P28347,0.386,0.455,0.631,0.665
D32855,0.698,0.537,0.783,0.616
X22297,0.183,0.164,0.434,0.509
X87001,0.203,0.319,0.737,0.807
D14236,0.592,0.517,0.803,0.681
X51839,0.188,0.177,0.767,0.387
A14553,0.263,0.216,0.85,0.724
D18440,0.64,0.44,0.765,0.734
P62845,0.457,0.241,0.861,0.785
S20746,0.469,0.496,0.692,0.643
S12725,0.663,0.407,0.804,0.842
P65757,0.47,0.459,0.868,0.658
A55096,0.772,0.655,0.901,0.793
X52478,0.629,0.385,0.782,0.575
X11491,0.331,0.225,0.873,0.82
X93991,0.257,0.171,0.728,0.5
X43333,0.494,0.378,0.654,0.692
X99520,0.354,0.191,0.84,0.878
S58825,0.178,0.268,0.897,1.0
S76413,0.178,0.234,0.179,0.287
A27873,0.401,0.182,0.827,0.714
X85077,0.445,0.478,0.631,0.791
A78779,0.316,0.265,0.634,0.759
A86037,0.618,0.552,0.77,0.695
X48059,0.212,0.202,0.497,0.493
D15328,0.195,0.148,0.541,0.445
S10762,0.599,0.558,0.733,0.736
S74925,0.236,0.043,0.886,0.705
A48557,0.483,0.384,0.758,0.737
S48020,0.585,0.446,0.795,0.813
D76634,0.515,0.432,0.77,0.65
D42283,0.446,0.367,0.687,0.729
X94676,0.202,0.194,1.0,0.992
D20184,0.675,0.571,0.829,0.765
D59807,0.284,0.226,0.753,0.814
D93825,0.197,0.106,0.281,0.255
D76974,0.246,0.164,0.607,0.575
A19705,0.474,0.368,0.794,0.766
S68848,0.551,0.463,0.749,0.653
X66253,0.213,0.208,0.597,0.4
P65758,0.204,0.302,0.54,0.581
A36767,0.591,0.432,0.806,0.553
X60620,0.357,0.556,0.793,0.826
D96723,0.182,0.176,0.295,0.169
S15864,0.477,0.39,0.652,0.833
P47385,0.689,0.542,0.802,0.7
A73320,0.355,0.189,0.852,0.805
X58630,0.456,0.404,0.743,0.726
D87753,0.457,0.443,0.696,0.729
D98419,0.56,0.532,0.732,0.732
A18210,0.504,0.437,0.726,0.7
D34182,0.484,0.445,0.784,0.753
S57759,0.616,0.462,0.799,0.683
A71047,0.233,0.314,0.638,0.424
S89759,0.762,0.528,0.813,0.715
A78047,0.138,0.367,0.263,0.517
X97295,0.386,0.281,0.89,0.767
P88049,0.578,0.355,0.8,0.749
A65169,0.49,0.366,0.889,0.785
P65779,0.185,0.149,0.918,0.787
D57795,0.494,0.355,0.696,0.767
A26038,0.331,0.188,0.865,0.63
S41886,0.452,0.457,0.7,0.727
S83981,0.234,0.241,0.511,0.411
X20336,0.468,0.454,0.81,0.789
A52153,0.69,0.558,0.761,0.773
P63602,0.227,0.216,0.763,0.754
S88823,0.452,0.393,0.725,0.74
X21489,0.385,0.446,0.645,0.747
D43834,0.534,0.38,0.725,0.535
P55045,0.158,0.205,0.268,0.453
P20849,0.677,0.481,0.788,0.641
X65283,0.237,0.253,0.594,0.429
A36847,0.253,0.152,0.965,0.87
P68455,0.579,0.492,0.821,0.63
A49237,0.825,0.624,0.89,0.773
P78993,0.256,0.296,0.505,0.63
X84317,0.548,0.485,0.723,0.765
A63845,0.197,0.135,0.408,0.429
P53327,0.184,0.206,0.653,0.513
D93976,0.581,0.565,0.753,0.668
X29548,0.234,0.203,0.774,0.677
S91923,0.624,0.59,0.792,0.802
X85500,0.841,0.672,0.894,0.866
P40720,0.457,0.374,0.735,0.696
X75062,0.247,0.189,0.778,0.652
S39487,0.615,0.556,0.753,0.645
X89722,0.248,0.245,0.597,0.584
P31351,0.535,0.417,0.762,0.68
D19388,0.608,0.532,0.768,0.741
S28562,0.31,0.128,0.721,0.759
X40317,0.223,0.205,0.734,0.797
P64478,0.621,0.458,0.773,0.609
A90273,0.261,0.12,0.731,0.626
P12674,0.254,0.31,0.468,0.665
P93393,0.303,0.283,0.598,0.574
S12063,0.141,0.109,0.619,0.468
P14609,0.232,0.222,0.403,0.56
X13040,0.431,0.448,0.694,0.745
X55160,0.66,0.554,0.786,0.678
S30228,0.606,0.499,0.729,0.607
D69878,0.607,0.508,0.763,0.683
A67622,0.692,0.574,0.827,0.829
S97325,0.289,0.27,0.486,0.456
A64447,0.728,0.668,0.87,0.781
X93403,0.62,0.607,0.815,0.786
D49587,0.229,0.207,0.987,0.716
A64183,0.188,0.139,0.617,0.519
P74648,0.111,0.224,0.447,0.363
D25519,0.65,0.506,0.766,0.733
D21846,0.211,0.206,0.391,0.52
P20628,0.291,0.22,1.0,0.837
S58880,0.614,0.428,0.818,0.807
A45270,0.168,0.183,0.477,0.319
S44374,0.576,0.512,0.718,0.708
S85411,0.503,0.448,0.801,0.77
X48325,0.547,0.506,0.77,0.615
D85984,0.158,0.23,0.332,0.26
X36096,0.601,0.494,0.786,0.724
P27505,0.487,0.34,0.717,0.585
S67565,0.318,0.13,0.73,0.761
P42038,0.285,0.245,0.553,0.488
X49246,0.423,0.426,0.769,0.735
X82246,0.266,0.098,0.847,0.69
D49948,0.249,0.18,0.478,0.588
S64047,0.264,0.223,0.625,0.63
D66171,0.509,0.504,0.686,0.682
S35583,0.793,0.655,0.933,0.935
A97613,0.512,0.415,0.826,0.728
P12468,0.449,0.467,0.842,0.865
S40392,0.46,0.491,0.873,0.698
S83670,0.132,0.226,0.418,0.411
P60714,0.562,0.505,0.709,0.701
P70904,0.638,0.5,0.789,0.738
A57769,0.163,0.09,0.324,0.296
P46232,0.319,0.139,0.825,0.659
X63733,0.617,0.59,0.806,0.681
P12130,0.589,0.333,0.799,0.66
P32845,0.702,0.514,0.785,0.773
A16225,0.207,0.14,0.387,0.596
S93783,0.269,0.26,0.517,0.396
S86900,0.606,0.492,0.761,0.671
X81303,0.564,0.53,0.744,0.739
P81066,0.244,0.15,0.626,0.423
X55380,0.71,0.599,0.817,0.761
X18531,0.25,0.214,0.795,0.685
D17238,0.638,0.471,0.831,0.731
P53795,0.179,0.171,0.946,0.723
A23795,0.571,0.46,0.744,0.756
A36606,0.283,0.205,0.696,0.746
A31603,0.525,0.442,0.746,0.696
A79539,0.444,0.38,0.697,0.603
P58182,0.303,0.309,0.919,0.97
A46829,0.581,0.464,0.76,0.629
X74724,0.248,0.212,0.431,0.394
D26112,0.378,0.34,0.817,0.757
S62474,0.526,0.419,0.75,0.73
P24845,0.25,0.167,0.745,0.718
X68940,0.65,0.547,0.766,0.747
X62254,0.602,0.529,0.798,0.848
D32106,0.203,0.204,0.47,0.319
S10016,0.573,0.534,0.848,0.779
S98991,0.654,0.526,0.814,0.702
X55890,0.228,0.169,0.465,0.453
X39178,0.106,0.204,0.861,0.866
D12504,0.675,0.633,0.8,0.817
A33912,0.558,0.423,0.768,0.745
X13942,0.47,0.443,0.605,0.695
D44530,0.464,0.317,0.767,0.702
X71035,0.342,0.26,0.7,0.823
P60652,0.539,0.447,0.75,0.811
A30963,0.508,0.595,0.854,0.72
X56198,0.158,0.181,0.589,0.589
D57601,0.242,0.26,0.495,0.601
D69009,0.213,0.278,1.0,0.94
D94423,0.529,0.39,0.771,0.681
A72713,0.413,0.312,0.744,0.565
A79064,0.523,0.522,0.743,0.857
X17908,0.283,0.209,0.473,0.526
S29993,0.411,0.109,0.719,0.562
P63923,0.542,0.449,0.802,0.701
A86030,0.496,0.507,0.694,0.638
D77441,0.174,0.214,0.487,0.408
P30043,0.705,0.57,0.858,0.727
X99178,0.671,0.562,0.885,0.714
S81243,0.414,0.261,0.81,0.614
A88659,0.534,0.382,0.747,0.693
S78413,0.552,0.361,0.779,0.625
X59574,0.465,0.32,0.932,0.691
A86724,0.193,0.278,0.574,0.562
A91099,0.636,0.488,0.798,0.673
X52294,0.205,0.253,0.688,0.578
S28826,0.241,0.19,0.768,0.73
A83737,0.529,0.33,0.817,0.677
X81169,0.399,0.435,0.73,0.792
X29728,0.243,0.184,0.868,0.697
D88638,0.274,0.174,0.967,0.842
S96831,0.171,0.187,0.349,0.348
D20948,0.564,0.39,0.778,0.73
S54915,0.439,0.388,0.744,0.751
X87488,0.838,0.665,0.911,0.816
P89594,0.572,0.518,0.765,0.773
D83008,0.378,0.285,0.803,0.804
P45453,0.515,0.395,0.779,0.665
A56876,0.675,0.514,0.804,0.687
A34955,0.234,0.224,0.316,0.286
X54722,0.375,0.213,0.709,0.689
X22608,0.574,0.423,0.707,0.644
D24009,0.282,0.229,0.954,0.623
A35543,0.475,0.364,0.782,0.624
A91215,0.359,0.41,0.58,0.705
S68327,0.537,0.489,0.71,0.777
A34577,0.5,0.402,0.89,0.758
A44872,0.412,0.45,0.723,0.561
P79393,0.547,0.43,0.863,0.804
P63483,0.334,0.252,0.652,0.439
X18833,0.591,0.425,0.767,0.861
D38234,0.373,0.284,0.909,1.0
D46008,0.393,0.32,0.641,0.513
S94664,0.522,0.385,0.751,0.656
A59662,0.601,0.517,0.732,0.712
X59543,0.393,0.415,0.943,0.893
X22749,0.243,0.252,0.515,0.537
X26104,0.502,0.388,0.847,0.711
S28590,0.606,0.476,0.776,0.678
D74763,0.157,0.252,0.642,0.591
S53681,0.504,0.455,0.686,0.76
A63623,0.605,0.483,0.763,0.697
A38466,0.428,0.362,0.612,0.755
A25732,0.627,0.497,0.847,0.743
S29953,0.469,0.435,0.73,0.813
X97345,0.12,0.209,0.522,0.544
P94983,0.313,0.226,0.938,0.816
D41930,0.461,0.552,0.69,0.764
S34468,0.29,0.15,0.774,0.777
P38201,0.471,0.395,0.727,0.731
D90497,0.617,0.475,0.789,0.663
D16682,0.477,0.421,0.735,0.697
D85567,0.42,0.502,0.68,0.755
D20086,0.523,0.44,0.737,0.682
P67370,0.728,0.568,0.864,0.754
S79133,0.203,0.211,0.429,0.474
A39320,0.565,0.466,0.705,0.693
